"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"858123250416660480","https://twitter.com/mozTechSpeakers/status/858123250416660480","We're friendly and we're here to help! 🙌 https://t.co/a6QDXtkN8L","2017-04-29 00:58 +0000","1964.0","28.0","0.014256619144602852","8.0","0.0","14.0","3.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"856938942226198529","https://twitter.com/mozTechSpeakers/status/856938942226198529","Our awesome Tech Speakers are helping out with the @mozilla #london #devroadshow tonight. Ask them anything! https://t.co/wK4Vc5jTBx","2017-04-25 18:32 +0000","1505.0","46.0","0.030564784053156147","4.0","0.0","20.0","3.0","2.0","2.0","3.0","0.0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"856742693933912066","https://twitter.com/mozTechSpeakers/status/856742693933912066","@mishunov @HolyJSconf Gotcha! It's on the tracker now, thanks! https://t.co/ZxIOplrLHY","2017-04-25 05:32 +0000","83.0","4.0","0.04819277108433735","0.0","1.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"856432144146628608","https://twitter.com/mozTechSpeakers/status/856432144146628608","@mishunov @HolyJSconf If there was a set deadline, we'd be happy to add it to the calendar! Can't find it here https://t.co/xpaOygY7rc","2017-04-24 08:58 +0000","144.0","4.0","0.027777777777777776","0.0","1.0","0.0","1.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"856277832032538624","https://twitter.com/mozTechSpeakers/status/856277832032538624","Among others, our #TechSpeaker @elioqoshi will be there! https://t.co/yLiB3yXofn","2017-04-23 22:45 +0000","188.0","3.0","0.015957446808510637","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"855447892357677056","https://twitter.com/mozTechSpeakers/status/855447892357677056","Our very own 🦊 @gianniskon did a #WebVR 🕸📺🌍 workshop in his university https://t.co/fgFnzUqsh4","2017-04-21 15:47 +0000","385.0","20.0","0.05194805194805195","0.0","0.0","9.0","6.0","2.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"851848988374560768","https://twitter.com/mozTechSpeakers/status/851848988374560768","#mozTechSpeakers Reprezent! 😜
TechSpeakers make a guest appearance in @manelbutterfly's talk at Open-Source Budapest Meetup 🐣🐣🐣 https://t.co/2So3xV3Pi7","2017-04-11 17:26 +0000","386.0","19.0","0.04922279792746114","0.0","0.0","11.0","4.0","0.0","0.0","2.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"848857078412259328","https://twitter.com/mozTechSpeakers/status/848857078412259328","Gloria talking about her experience with Django in @DjangoConEurope #techSpeakers https://t.co/BOrhOCKfa7","2017-04-03 11:17 +0000","908.0","26.0","0.028634361233480177","2.0","0.0","16.0","2.0","3.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"848240458023051264","https://twitter.com/mozTechSpeakers/status/848240458023051264","💙 https://t.co/FhaH0Cn6hC","2017-04-01 18:27 +0000","261.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"847790607309430784","https://twitter.com/mozTechSpeakers/status/847790607309430784","Read up on #mozTechSpeakers' @Srushtika rocking @MobConEU with her #WebVR talk in Sofia, Bulgaria! 🕶️✨

https://t.co/pSBAeW7oTe https://t.co/wa8tmHNh5o","2017-03-31 12:40 +0000","938.0","37.0","0.039445628997867806","2.0","0.0","7.0","2.0","8.0","0.0","15.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
